dataset_id,dataset_name,op,group,user_memo,encoding,projection,real_filetype,localfile,status,last_url,sys_memo
5981,水利防災資訊,,防災,,UTF-8,3826,,,,,
5982,防災資訊_淹水警戒,,防災,,UTF-8,3826,,,,,
5983,防災資訊_河川警戒,,防災,SKIP,UTF-8,3826,,,,,
5984,防災資訊_水庫洩洪警戒,,防災,,UTF-8,3826,,,,,
6439,水利署疏濬資訊(2013年9月以後),,水利行政,,UTF-8,3826,,,,,
8316,自來水生活用水量統計,,水源,,UTF-8,3826,,,,,
8319,水質水量保護區基本資料,,水源,,UTF-8,3826,,,,,
8989,自來水供水普及率,,水源,,UTF-8,3826,,,,,
9017,水源保育與回饋費徵收與執行成果,,水利行政,,UTF-8,3826,,,,,
9786,水利事業歷史用地取得作業執行情形,,水利行政,,UTF-8,3826,,,,,
9823,河川流域範圍圖,,地表水,SKIP,UTF-8,3826,,,,,
10862,水利署_相關行政救濟案例,,水利行政,,UTF-8,3826,,,,,
10864,水利署_行政指導文書,,水利行政,,UTF-8,3826,,,,,
10867,水利署_統計動態,,水利行政,,UTF-8,3826,,,,,
10874,水利署_預算書,,水利行政,,UTF-8,3826,,,,,
10875,水利署_決算書,,水利行政,,UTF-8,3826,,,,,
10876,水利署_招標及決標訊息,,水利行政,,UTF-8,3826,,,,,
10877,水利署_支付或接受之補助,,水利行政,,UTF-8,3826,,,,,
13795,水庫蓄水範圍,,地表水,SKIP,UTF-8,3826,,,,,
16926,疏濬點位資料,,水利行政,,UTF-8,3826,,,,,
16927,水利署政府出版品書目,,水利行政,,UTF-8,3826,,,,,
16928,水利署最新消息,,水利行政,SKIP,UTF-8,3826,,,,,
16929,含沙量測站位置圖,,地表水,SKIP,UTF-8,3826,,,,,
16930,河川斷面樁位置圖,,地表水,SKIP,UTF-8,3826,,,,,
16931,河川斷面線位置圖,,地表水,SKIP,UTF-8,3826,,,,,
16932,自來水用水量,,水源,,UTF-8,3826,,,,,
16933,水利署組織職掌及聯絡方式,,水利行政,SKIP,UTF-8,3826,,,,,
16934,水利署國賠統計,,水利行政,,UTF-8,3826,,,,,
16936,水利署統計資料指標,,水利行政,,UTF-8,3826,,,,,
16937,水利署公務統計報表,,水利行政,,UTF-8,3826,,,,,
16938,水利署公務統計方案,,水利行政,SKIP,UTF-8,3826,,,,,
16940,水利署統計分析,,水利行政,,UTF-8,3826,,,,,
16942,水利署水利統計簡訊,,水利行政,,UTF-8,3826,,,,,
17436,水利署統計書刊,,水利行政,,UTF-8,3826,,,,,
18442,水資源作業基金法定預算,,水利行政,SKIP,UTF-8,3826,,,,,
20083,水資源作業基金附屬單位會計報表,,水利行政,SKIP,UTF-8,3826,,,,,
22223,河川流量測站站況,,地表水,,UTF-8,3826,,,,,
22224,地下水水位年度統計,,地下水,,UTF-8,3826,,,,,
22227,河川水位測站站況,,地表水,,UTF-8,3826,,,,,
22228,河川代碼,,地表水,,UTF-8,3826,,,,,
25766,淹水潛勢圖,,防災,DIG,UTF-8,3826,,,,,
25767,海氣象資料浮標站位置圖,,近海,,UTF-8,3826,,,,,
25768,即時水位資料,,地表水,,UTF-8,3826,,,,,
25769,抽水站位置圖,,地表水,SKIP,UTF-8,3826,,,,,
25770,歷史淹水資料,,防災,,UTF-8,3826,,,,,
25771,水利署兩棲類調查資料,,保育,,UTF-8,3826,,,,,
25772,水利署及所屬單位位置圖,,水利行政,SKIP,UTF-8,3826,,,,,
25773,水利署雨量站位置圖_已廢站,,地表水,SKIP,UTF-8,3826,,,,,
25774,水利署雨量站位置圖_現存站,,地表水,SKIP,UTF-8,3826,,,,,
25775,水利署電子報,,水利行政,,UTF-8,3826,,,,,
25776,水庫堰壩位置圖,,地表水,SKIP,UTF-8,3826,,,,,
25777,水源特定區圖,,保育,SKIP,UTF-8,3826,,,,,
25778,水資源分區圖,,水源,SKIP,UTF-8,3826,,,,,
25779,水資源局轄區範圍圖,,水利行政,SKIP,UTF-8,3826,,,,,
25780,河川支流,,地表水,SKIP,UTF-8,3826,,,,,
25781,河川河道,,地表水,SKIP,UTF-8,3826,,,,,
25782,河川局管轄範圍圖,,水利行政,SKIP,UTF-8,3826,,,,,
25783,河川水位測站位置圖_已廢站,,地表水,SKIP,UTF-8,3826,,,,,
25784,河川水位測站位置圖_現存站,,地表水,SKIP,UTF-8,3826,,,,,
25785,河川流量測站位置圖_已廢站,,地表水,SKIP,UTF-8,3826,,,,,
25786,河川流量測站位置圖_現存站,,地表水,SKIP,UTF-8,3826,,,,,
25787,自來水水質水量保護區圖,,保育,SKIP,UTF-8,3826,,,,,
25788,近海水文氣象站位置圖,,近海,SKIP,UTF-8,3826,,,,,
25789,近海水文潮位站位置圖,,近海,SKIP,UTF-8,3826,,,,,
25790,防汛備料地點,,防災,,UTF-8,3826,,,,,
25795,水利署爬蟲類調查資料,,保育,,UTF-8,3826,,,,,
25796,水利署藻類調查資料,,保育,,UTF-8,3826,,,,,
25797,水利署蝦蟹貝類調查資料,,保育,,UTF-8,3826,,,,,
25798,水利署陸上昆蟲類調查資料,,保育,,UTF-8,3826,,,,,
25799,水利署魚類調查資料,,保育,,UTF-8,3826,,,,,
32717,地下水水位歷年統計,,地下水,,UTF-8,3826,,,,,
32718,地下水水位觀測井井況,,地下水,,UTF-8,3826,,,,,
32719,水利署哺乳類調查資料,,保育,,UTF-8,3826,,,,,
32720,水利署鳥類調查資料,,保育,,UTF-8,3826,,,,,
32721,水利署植物調查資料,,保育,,UTF-8,3826,,,,,
32722,中央管水門,,地表水,SKIP,UTF-8,3826,,,,,
32723,水源保育與回饋計畫執行成果經費統計(鄉鎮市區公所),,水利行政,,UTF-8,3826,,,,,
32724,水資源投資分析資料,,水利行政,,UTF-8,3826,,,,,
32725,地下水觀測井位置圖_現存站,,地下水,SKIP,UTF-8,3826,,,,,
32726,水庫基本資料,,地表水,,UTF-8,3826,,,,,
32727,水庫淤積量,,水源,,UTF-8,3826,,,,,
32728,水庫營運,,水源,,UTF-8,3826,,,,,
32729,水利署所屬雨量站基本資料,,地表水,,UTF-8,3826,,,,,
32730,中央管河川河堤,,地表水,,UTF-8,3826,,,,,
32731,中央管海堤,,近海,,UTF-8,3826,,,,,
32732,中央管排水,,地表水,,UTF-8,3826,,,,,
32733,曾文水庫即時水情資訊,,地表水,,UTF-8,3826,,,,,
32734,阿公店水庫即時水情資訊,,地表水,,UTF-8,3826,,,,,
32735,牡丹水庫即時水情資訊,,地表水,,UTF-8,3826,,,,,
36687,水利署水利防災用影像,,防災,,UTF-8,3826,,,,,
36688,河川復育英文版案例報導,,水利行政,,UTF-8,3826,,,,,
36689,河川復育英文版新聞,,水利行政,,UTF-8,3826,,,,,
36690,水利署河川主題網站,,水利行政,,UTF-8,3826,,,,,
36691,河川名詞庫,,水利行政,,UTF-8,3826,,,,,
36692,警戒水位值,,防災,,UTF-8,3826,,,,,
36693,水利署地層下陷GPS測站基本資料,,地下水,SKIP,UTF-8,3826,,,,,
36694,水利署地層下陷GPS測站監測資訊,,地下水,,UTF-8,3826,,,,,
36695,枯旱預警,,防災,,UTF-8,3826,,,,,
36696,水權統計資料,,水源,,UTF-8,3826,,,,,
36697,水利署列管計畫基本資料,,水利行政,,UTF-8,3826,,,,,
36698,自來水管承裝商聘僱中人員統計資料,,水利行政,,UTF-8,3826,,,,,
41561,河川專題文章,,水利行政,,UTF-8,3826,,,,,
41562,河川復育常見問答,,保育,,UTF-8,3826,,,,,
41563,河川復育達人專欄,,保育,,UTF-8,3826,,,,,
41564,水利知識文章,,水利行政,,UTF-8,3826,,,,,
41565,水利工程契約範本,,水利行政,SKIP,UTF-8,3826,,,,,
41566,臺灣溫泉監測季報,,地下水,SKIP,UTF-8,3826,,,,,
41567,河川局遠端監控影像,,水利行政,,UTF-8,3826,,,,,
41568,水庫每日營運狀況,,水源,,UTF-8,3826,,,,,
41569,水利署轄管河川綠美化場地可開放認養維護管理案件表,,水利行政,,UTF-8,3826,,,,,
41570,水利署轄管河川或排水綠美化場地已認養維護管理案件表,,水利行政,,UTF-8,3826,,,,,
41571,水利署地層下陷磁環分層監測井基本資料,,地下水,,UTF-8,3826,,,,,
41572,水利署地層下陷磁環分層監測井監測資訊,,地下水,,UTF-8,3826,,,,,
41573,高屏溪水系隘寮溪支流武洛溪河川區域圖,,地表水,SKIP,UTF-8,3826,,,,,
41574,高屏溪水系荖濃溪支流濁口溪河川區域圖,,地表水,SKIP,UTF-8,3826,,,,,
41575,高屏溪水系荖濃溪支流隘寮溪河川區域圖,,地表水,SKIP,UTF-8,3826,,,,,
41576,石門水庫(含榮華壩)集水區範圍圖,,地表水,,UTF-8,3826,,,,,
41577,水資源研究發展專題報導,,水利行政,SKIP,UTF-8,3826,,,,,
45490,水利節表揚大會影像集,,水利行政,SKIP,UTF-8,3826,,,,,
45495,水利署水庫警告設施設置圖,,水利行政,,UTF-8,3826,,,,,
45501,水庫水情資料,,水源,,UTF-8,3826,,,,,
45502,水源保育與回饋計畫執行成果經費統計（保護區）,,水利行政,,UTF-8,3826,,,,,
45503,省水標章產品,,水利行政,,UTF-8,3826,,,,,
45504,節水快報,,水利行政,,UTF-8,3826,,,,,
45505,中部地區水資源管理最新消息,,水利行政,,UTF-8,3826,,,,,
58335,水利署地層下陷深層水準樁基本資料,,地下水,,UTF-8,3826,,,,,
58339,水利署地層下陷深層水準樁監測資訊,,地下水,,UTF-8,3826,,,,,
58340,用水計畫摘要表,,水源,,UTF-8,3826,,,,,
58342,卑南溪種植區域等級劃分,,水利行政,,UTF-8,3826,,,,,
58343,中區水資源局轄管水庫、堰、壩洩洪訊息,,防災,,UTF-8,3826,,,,,
58344,寶山第二水庫集水區範圍圖,,地表水,SKIP,UTF-8,3826,,,,,
58345,鯉魚潭水庫集水區範圍圖,,地表水,,UTF-8,3826,,,,,
58346,石岡壩集水區範圍圖,,地表水,,UTF-8,3826,,,,,
58347,阿公店水庫集水區範圍圖,,地表水,,UTF-8,3826,,,,,
58348,牡丹水庫集水區範圍圖,,地表水,,UTF-8,3826,,,,,
58349,自來水水質水量保護區專戶運用小組名單,,水利行政,,UTF-8,3826,,,,,
58350,自來水管承裝商有效家數統計,,水利行政,,UTF-8,3826,,,,,
58351,自來水管承裝商狀態統計,,水利行政,,UTF-8,3826,,,,,
58361,水利署地層下陷累積下陷量等值線,,地下水,SKIP,UTF-8,3826,,,,,
58362,水利署地層下陷平均下陷速率等值線,,地下水,SKIP,UTF-8,3826,,,,,
58679,中央管區域排水設施範圍公告一覽表,,水利行政,,UTF-8,3826,,,,,
58680,海堤區域公告一覽表,,水利行政,,UTF-8,3826,,,,,
58681,中央管河川河川區域公告一覽表,,地表水,,UTF-8,3826,,,,,
58682,大臺北華城社區內各污水下水道系統水量累計歷年統計資料,,保育,,UTF-8,3826,,,,,
58683,水利署臺北水源特定區管理局所發建築執照執照發照歷年統計,,水利行政,,UTF-8,3826,,,,,
58688,石門水庫濁度資料,,水源,,UTF-8,3826,,,,,
58690,寶山第二水庫濁度資料,,水源,,UTF-8,3826,,,,,
58691,水利署工業用水量來源統計,,水源,,UTF-8,3826,,,,,
58692,水利署工業用水量與工業面積,,水源,,UTF-8,3826,,,,,
58694,水利署生活用水量統計,,水源,,UTF-8,3826,,,,,
58698,水利署各項農業用水統計,,水源,,UTF-8,3826,,,,,
58699,水利署畜牧數與畜牧用水量統計,,水源,,UTF-8,3826,,,,,
58700,水利署養殖面積與養殖用水量統計,,水源,,UTF-8,3826,,,,,
58701,水利署灌溉面積與灌溉用水量統計,,水源,,UTF-8,3826,,,,,
62990,海水淡化廠營運概況,,水源,,UTF-8,3826,,,,,
86026,防汛備料基本資料,,防災,,UTF-8,3826,,,,,
86029,防汛場所基本資料,,防災,,UTF-8,3826,,,,,
86030,設施水利災情,,防災,,UTF-8,3826,,,,,
92144,警戒水位值影響範圍,,防災,,UTF-8,3826,,,,,
92149,警戒雨量值,,防災,,UTF-8,3826,,,,,
92150,警戒雨量值影響範圍,,防災,,UTF-8,3826,,,,,
95805,施工補充說明書及其附件,,水利行政,SKIP,UTF-8,3826,,,,,
95806,鯉魚潭水庫每日水情資訊,,水源,,UTF-8,3826,,,,,
108612,水資源作業基金預算案,,水利行政,SKIP,UTF-8,3826,,,,,
129232,河川區域,,地表水,SKIP,UTF-8,3826,,,,,
129233,天然災害區排排水設施受損情形,,防災,,UTF-8,3826,,,,,
129277,海堤區域,,地表水,SKIP,UTF-8,3826,,,,,
129294,排水設施範圍,,地表水,SKIP,UTF-8,3826,,,,,
129295,河川圖框,,地表水,SKIP,UTF-8,3826,,,,,
129296,海堤圖框,,地表水,SKIP,UTF-8,3826,,,,,
129297,排水圖框,,地表水,SKIP,UTF-8,3826,,,,,
129299,河川區域線,,地表水,SKIP,UTF-8,3826,,,,,
129312,地層下陷水準高程檢測點,,地下水,SKIP,UTF-8,3826,,,,,
129313,水利署地層下陷GPS測站圖,,地下水,SKIP,UTF-8,3826,,,,,
129314,水利署地層下陷磁環分層監測井圖,,地下水,SKIP,UTF-8,3826,,,,,
129315,地下水水質監測站位置圖,,地下水,SKIP,UTF-8,3826,,,,,
129316,地下水觀測井位置圖_已廢站,,地下水,SKIP,UTF-8,3826,,,,,
129317,地下水分區範圍圖,,地下水,SKIP,UTF-8,3826,,,,,
129318,地下水第一級管制區,,地下水,SKIP,UTF-8,3826,,,,,
129319,地下水第二級管制區,,地下水,SKIP,UTF-8,3826,,,,,
129325,近海水文資料浮標站位置圖,,近海,SKIP,UTF-8,3826,,,,,
129449,公有單位抗旱井,,地下水,SKIP,UTF-8,3826,,,,,
129459,海水入侵及地下水鹽化區,,地下水,SKIP,UTF-8,3826,,,,,
129460,地下水分區第一含水層觀測井控制範圍,,地下水,SKIP,UTF-8,3826,,,,,
129461,地下水分區第二含水層觀測井控制範圍,,地下水,SKIP,UTF-8,3826,,,,,
129462,堤防或護岸位置圖,,地表水,SKIP,UTF-8,3826,,,,,
129472,自來水水質水量保護區圖：邊界向內鄰近0.5公里範圍,,保育,SKIP,UTF-8,3826,,,,,
129473,自來水水質水量保護區圖：邊界向外鄰近0.5公里範圍,,保育,SKIP,UTF-8,3826,,,,,
129474,水庫集水區,,地表水,SKIP,UTF-8,3826,,,,,
129475,水庫集水區敏感區範圍：邊界向內鄰近0.5公里範圍,,保育,SKIP,UTF-8,3826,,,,,
129476,水庫集水區敏感區範圍：邊界向外鄰近0.5公里範圍,,保育,SKIP,UTF-8,3826,,,,,
130015,水資源作業基金附屬單位決算,,水利行政,SKIP,UTF-8,3826,,,,,